"GEOID","value","NAME"
"13027",1667.55456542969,"Brooks"
"31095",1218.8447265625,"Jefferson"
"51683",1845.73986816406,"Manassas"
"56021",1567.30419921875,"Laramie"
"13135",1656.0703125,"Gwinnett"
"20001",NA,"Allen"
"27065",1900.7822265625,"Kanabec"
"28107",1795.0166015625,"Panola"
"31185",1586.37768554688,"York"
"42063",1020.98858642578,"Indiana"
"48327",NA,"Menard"
"29173",1352.02722167969,"Ralls"
"48151",NA,"Fisher"
"72081",NA,"Lares"
"51183",1321.61669921875,"Sussex"
"47183",1354.21899414062,"Weakley"
"26105",900.024291992188,"Mason"
"48159",1813.82702636719,"Franklin"
"08075",1996.39392089844,"Logan"
"22119",1307.62316894531,"Webster"
"31045",1711.14135742188,"Dawes"
"51139",1231.20446777344,"Page"
"13161",1547.59411621094,"Jeff Davis"
"18117",1524.75830078125,"Orange"
"27015",1328.43249511719,"Brown"
"31079",1333.26477050781,"Hall"
"21223",1452.98583984375,"Trimble"
"55113",1439.29553222656,"Sawyer"
"41027",1122.40649414062,"Hood River"
"21169",1088.50354003906,"Metcalfe"
"26007",1190.97912597656,"Alpena"
"19095",1321.37829589844,"Iowa"
"13061",NA,"Clay"
"18177",1086.67431640625,"Wayne"
"29227",NA,"Worth"
"31157",1767.517578125,"Scotts Bluff"
"39107",1005.30987548828,"Mercer"
"01015",1482.40673828125,"Calhoun"
"37095",NA,"Hyde"
"19019",1538.24694824219,"Buchanan"
"27121",1469.12963867188,"Pope"
"21181",1030.51611328125,"Nicholas"
"42053",1006.41394042969,"Forest"
"46077",NA,"Kingsbury"
"48375",1799.4091796875,"Potter"
"48413",NA,"Schleicher"
"51580",922.375732421875,"Covington"
"54063",NA,"Monroe"
"48499",1591.74584960938,"Wood"
"18041",1142.40771484375,"Fayette"
"28023",1854.32885742188,"Clarke"
"04023",1098.33776855469,"Santa Cruz"
"17007",1322.6611328125,"Boone"
"28039",2293.72436523438,"George"
"37113",1241.46166992188,"Macon"
"40025",NA,"Cimarron"
"01043",1671.50048828125,"Cullman"
"39065",1175.63696289062,"Hardin"
"20105",NA,"Lincoln"
"22059",923.894897460938,"LaSalle"
"36123",1133.966796875,"Yates"
"21035",1634.37121582031,"Calloway"
"48045",NA,"Briscoe"
"48265",1797.82397460938,"Kerr"
"72067",NA,"Hormigueros"
"20009",2079.7587890625,"Barton"
"16075",1172.91003417969,"Payette"
"48269",NA,"King"
"39161",961.907836914062,"Van Wert"
"46125",1481.73046875,"Turner"
"19129",1615.048828125,"Mills"
"26001",1241.06909179688,"Alcona"
"48165",1942.17822265625,"Gaines"
"13201",2006.74194335938,"Miller"
"18013",1682.58044433594,"Brown"
"19023",1440.74206542969,"Butler"
"40043",NA,"Dewey"
"31151",1495.20434570312,"Saline"
"37069",1370.15014648438,"Franklin"
"21219",1978.75061035156,"Todd"
"48393",NA,"Roberts"
"54031",963.385192871094,"Hardy"
"48399",1852.23327636719,"Runnels"
"48301",NA,"Loving"
"31089",1303.99755859375,"Holt"
"17175",877.271179199219,"Stark"
"48193",2463.10961914062,"Hamilton"
"16009",1384.38171386719,"Benewah"
"19109",1281.982421875,"Kossuth"
"28141",1510.08801269531,"Tishomingo"
"31131",1334.54809570312,"Otoe"
"46051",NA,"Grant"
"16067",980.455810546875,"Minidoka"
"19157",1292.45092773438,"Poweshiek"
"22001",1941.56335449219,"Acadia"
"37079",1680.51501464844,"Greene"
"42011",1163.708984375,"Berks"
"51600",1773.81896972656,"Fairfax"
"48335",1896.91772460938,"Mitchell"
"72073",NA,"Jayuya"
"51790",972.015869140625,"Staunton"
"20171",NA,"Scott"
"31001",1271.14025878906,"Adams"
"45053",2045.93029785156,"Jasper"
"38047",NA,"Logan"
"29081",1359.6123046875,"Harrison"
"20157",NA,"Republic"
"28087",1699.79016113281,"Lowndes"
"51590",928.818176269531,"Danville"
"51650",3014.5361328125,"Hampton"
"05029",1610.64855957031,"Conway"
"17139",1127.43139648438,"Moultrie"
"19105",1498.86669921875,"Jones"
"27097",1612.73571777344,"Morrison"
"29151",1399.85693359375,"Osage"
"40061",2100.56762695312,"Haskell"
"46057",NA,"Hamlin"
"54007",NA,"Braxton"
"05111",1398.5625,"Poinsett"
"21137",1490.49731445312,"Lincoln"
"17027",1594.83618164062,"Clinton"
"37147",1720.77587890625,"Pitt"
"29207",1508.93273925781,"Stoddard"
"17045",1498.31799316406,"Edgar"
"21191",1534.72058105469,"Pendleton"
"36073",1204.88427734375,"Orleans"
"38011",1637.11694335938,"Bowman"
"01117",1591.97741699219,"Shelby"
"13217",1440.45617675781,"Newton"
"39157",1099.93408203125,"Tuscarawas"
"19135",1529.20983886719,"Monroe"
"18113",1273.13916015625,"Noble"
"29141",1574.13195800781,"Morgan"
"36067",1426.2099609375,"Onondaga"
"48493",2033.22790527344,"Wilson"
"46087",NA,"McCook"
"48233",1672.21240234375,"Hutchinson"
"72019",NA,"Barranquitas"
"51840",1123.662109375,"Winchester"
"40105",NA,"Nowata"
"31129",NA,"Nuckolls"
"48325",2054.27954101562,"Medina"
"17005",1602.17932128906,"Bond"
"45069",1092.14221191406,"Marlboro"
"39069",1095.07641601562,"Henry"
"21007",1575.74157714844,"Ballard"
"46111",NA,"Sanborn"
"48009",2003.03210449219,"Archer"
"21063",NA,"Elliott"
"38065",NA,"Oliver"
"37063",1344.7763671875,"Durham"
"19165",1493.18518066406,"Shelby"
